timestamp,open,high,low,close,volume,symbol
2025-10-07 16:15:00,7.797,7.797,7.797,7.797,0.0,UNI/USDT
2025-10-07 16:30:00,7.827,7.827,7.827,7.827,5.11,UNI/USDT
2025-10-07 16:45:00,7.881,7.883,7.867,7.867,7.84,UNI/USDT
2025-10-07 17:00:00,7.833,7.837,7.827,7.827,25.0,UNI/USDT
2025-10-07 17:15:00,7.793,7.799,7.793,7.798,148.64,UNI/USDT
2025-10-07 17:30:00,7.8,7.8,7.8,7.8,2.56,UNI/USDT
2025-10-07 17:45:00,7.808,7.818,7.787,7.787,106.06,UNI/USDT
2025-10-07 18:00:00,7.787,7.787,7.787,7.787,0.0,UNI/USDT
2025-10-07 18:15:00,7.746,7.755,7.737,7.755,107.67,UNI/USDT
2025-10-07 18:30:00,7.734,7.736,7.72,7.72,102.06,UNI/USDT
2025-10-07 18:45:00,7.72,7.72,7.72,7.72,0.0,UNI/USDT
2025-10-07 19:00:00,7.763,7.763,7.763,7.763,22.14,UNI/USDT
2025-10-07 19:15:00,7.75,7.75,7.74,7.74,6.0,UNI/USDT
2025-10-07 19:30:00,7.74,7.74,7.74,7.74,0.0,UNI/USDT
2025-10-07 19:45:00,7.74,7.74,7.74,7.74,0.0,UNI/USDT
2025-10-07 20:00:00,7.74,7.74,7.74,7.74,0.0,UNI/USDT
2025-10-07 20:15:00,7.81,7.811,7.81,7.811,93.58,UNI/USDT
2025-10-07 20:30:00,7.811,7.827,7.811,7.822,179.22,UNI/USDT
2025-10-07 20:45:00,7.822,7.822,7.822,7.822,0.0,UNI/USDT
2025-10-07 21:00:00,7.811,7.811,7.811,7.811,0.78,UNI/USDT
2025-10-07 21:15:00,7.842,7.842,7.842,7.842,0.76,UNI/USDT
2025-10-07 21:30:00,7.829,7.829,7.808,7.808,1855.12,UNI/USDT
2025-10-07 21:45:00,7.793,7.793,7.781,7.781,38.46,UNI/USDT
2025-10-07 22:00:00,7.781,7.781,7.781,7.781,0.0,UNI/USDT
2025-10-07 22:15:00,7.82,7.826,7.82,7.826,49.33,UNI/USDT
2025-10-07 22:30:00,7.834,7.834,7.834,7.834,36.27,UNI/USDT
2025-10-07 22:45:00,7.834,7.834,7.834,7.834,0.0,UNI/USDT
2025-10-07 23:00:00,7.834,7.834,7.834,7.834,0.0,UNI/USDT
2025-10-07 23:15:00,7.834,7.834,7.834,7.834,0.0,UNI/USDT
2025-10-07 23:30:00,7.754,7.754,7.754,7.754,3.03,UNI/USDT
2025-10-07 23:45:00,7.769,7.77,7.768,7.77,11.05,UNI/USDT
2025-10-08 00:00:00,7.769,7.786,7.769,7.777,20.07,UNI/USDT
2025-10-08 00:15:00,7.777,7.777,7.777,7.777,0.0,UNI/USDT
2025-10-08 00:30:00,7.777,7.777,7.777,7.777,0.0,UNI/USDT
2025-10-08 00:45:00,7.777,7.777,7.777,7.777,0.0,UNI/USDT
2025-10-08 01:00:00,7.832,7.832,7.832,7.832,36.77,UNI/USDT
2025-10-08 01:15:00,7.807,7.845,7.807,7.845,11.5,UNI/USDT
2025-10-08 01:30:00,7.845,7.845,7.845,7.845,0.0,UNI/USDT
2025-10-08 01:45:00,7.836,7.836,7.836,7.836,36.77,UNI/USDT
2025-10-08 02:00:00,7.836,7.836,7.836,7.836,0.0,UNI/USDT
2025-10-08 02:15:00,7.836,7.836,7.836,7.836,0.0,UNI/USDT
2025-10-08 02:30:00,7.815,7.815,7.815,7.815,3.0,UNI/USDT
2025-10-08 02:45:00,7.815,7.815,7.815,7.815,0.0,UNI/USDT
2025-10-08 03:00:00,7.815,7.815,7.772,7.772,89.72,UNI/USDT
2025-10-08 03:15:00,7.779,7.779,7.757,7.757,9.0,UNI/USDT
2025-10-08 03:30:00,7.745,7.747,7.744,7.747,111.59,UNI/USDT
