timestamp,open,high,low,close,volume,symbol
2025-10-07 16:15:00,1275.13,1281.59,1266.23,1271.98,37.517,BNB/USDT
2025-10-07 16:30:00,1273.63,1375.08,1273.63,1295.51,124.872,BNB/USDT
2025-10-07 16:45:00,1295.59,1301.7,1281.19,1285.38,26.654,BNB/USDT
2025-10-07 17:00:00,1286.28,1289.19,1278.01,1279.43,10.34,BNB/USDT
2025-10-07 17:15:00,1279.04,1282.72,1275.71,1279.91,7.405,BNB/USDT
2025-10-07 17:30:00,1279.91,1288.24,1279.02,1287.19,14.718,BNB/USDT
2025-10-07 17:45:00,1288.37,1291.62,750.0,1285.09,14.865,BNB/USDT
2025-10-07 18:00:00,1284.7,1286.23,1278.2,1283.16,3.332,BNB/USDT
2025-10-07 18:15:00,1281.88,1281.88,1271.91,1275.77,3.982,BNB/USDT
2025-10-07 18:30:00,1276.29,1277.69,1272.24,1275.3,26.561,BNB/USDT
2025-10-07 18:45:00,1275.4,1280.01,1273.64,1276.61,3.406,BNB/USDT
2025-10-07 19:00:00,1276.24,1291.98,1276.03,1288.92,27.423,BNB/USDT
2025-10-07 19:15:00,1292.4,1297.26,1290.0,1291.86,6.437,BNB/USDT
2025-10-07 19:30:00,1291.86,1298.49,1291.32,1296.35,21.191,BNB/USDT
2025-10-07 19:45:00,1296.4,1299.62,1292.99,1297.78,3.468,BNB/USDT
2025-10-07 20:00:00,1296.48,1307.21,1296.48,1305.39,21.222,BNB/USDT
2025-10-07 20:15:00,1306.1,1312.75,1302.04,1311.59,9.398,BNB/USDT
2025-10-07 20:30:00,1312.21,1315.95,1307.14,1307.14,7.093,BNB/USDT
2025-10-07 20:45:00,1309.01,1314.73,1309.0,1311.96,2.415,BNB/USDT
2025-10-07 21:00:00,1311.86,1322.49,1308.05,1316.01,5.596,BNB/USDT
2025-10-07 21:15:00,1317.8,1327.53,1317.8,1325.38,5.674,BNB/USDT
2025-10-07 21:30:00,1326.0,1326.0,1316.87,1316.87,25.458,BNB/USDT
2025-10-07 21:45:00,1320.83,1320.83,1306.03,1311.05,9.761,BNB/USDT
2025-10-07 22:00:00,1310.38,1319.14,1309.36,1319.14,14.822,BNB/USDT
2025-10-07 22:15:00,1319.15,1322.17,1312.92,1313.52,5.45,BNB/USDT
2025-10-07 22:30:00,1312.91,1317.98,1307.24,1308.1,25.484,BNB/USDT
2025-10-07 22:45:00,1309.41,1312.02,1306.27,1307.59,2.821,BNB/USDT
2025-10-07 23:00:00,1307.6,1307.6,1302.31,1305.56,5.018,BNB/USDT
2025-10-07 23:15:00,1304.49,1312.43,1304.49,1310.51,4.741,BNB/USDT
2025-10-07 23:30:00,1309.94,1312.28,1307.43,1311.27,2.966,BNB/USDT
2025-10-07 23:45:00,1314.43,1315.69,1304.64,1304.64,7.333,BNB/USDT
2025-10-08 00:00:00,1304.43,1315.97,1303.3,1315.97,11.956,BNB/USDT
2025-10-08 00:15:00,1315.65,1328.19,1315.65,1323.64,8.147,BNB/USDT
2025-10-08 00:30:00,1322.14,1333.49,1315.07,1330.42,25.352,BNB/USDT
2025-10-08 00:45:00,1329.75,1329.75,1315.03,1315.12,47.749,BNB/USDT
2025-10-08 01:00:00,1315.45,1315.45,1306.58,1308.16,7.096,BNB/USDT
2025-10-08 01:15:00,1308.71,1317.17,1305.84,1305.84,8.208,BNB/USDT
2025-10-08 01:30:00,1305.42,1317.12,1305.35,1313.63,38.032,BNB/USDT
2025-10-08 01:45:00,1313.21,1313.95,1308.65,1312.58,4.472,BNB/USDT
2025-10-08 02:00:00,1311.53,1311.53,1162.54,1285.97,16.182,BNB/USDT
