timestamp,open,high,low,close,volume
2025-10-03 02:45:00,3.016,3.0226,3.016,3.0226,213.6
2025-10-03 03:00:00,3.02,3.0307,3.02,3.0272,216.1
2025-10-03 03:15:00,3.0294,3.0377,3.029,3.029,132.2
2025-10-03 03:30:00,3.0305,3.0321,3.0283,3.0312,431.9
2025-10-03 03:45:00,3.027,3.0288,3.0234,3.0235,294.5
2025-10-03 04:00:00,3.0201,3.0222,3.0201,3.0222,45.0
2025-10-03 04:15:00,3.0252,3.0314,3.0252,3.0273,136.6
2025-10-03 04:30:00,3.0192,3.0225,3.019,3.0193,143.8
2025-10-03 04:45:00,3.025,3.0289,3.0239,3.0289,168.9
2025-10-03 05:00:00,3.0294,3.0294,3.0228,3.0228,43.4
2025-10-03 05:15:00,3.0202,3.023,3.0202,3.023,46.5
2025-10-03 05:30:00,3.0205,3.0214,3.0141,3.0141,207.1
2025-10-03 05:45:00,3.0167,3.0217,3.0167,3.0217,52.9
2025-10-03 06:00:00,3.0217,3.0251,3.0216,3.0251,59.3
2025-10-03 06:15:00,3.0277,3.0277,3.0247,3.0247,6.7
2025-10-03 06:30:00,3.0274,3.0348,3.0274,3.0348,279.6
2025-10-03 06:45:00,3.0262,3.0262,3.014,3.0191,732.3
2025-10-03 07:00:00,3.0233,3.0252,3.0203,3.0252,117.2
2025-10-03 07:15:00,3.0247,3.0321,3.0247,3.0276,278.5
2025-10-03 07:30:00,3.0223,3.0294,3.0223,3.0256,125.4
2025-10-03 07:45:00,3.0244,3.0317,3.0244,3.0317,175.1
2025-10-03 08:00:00,3.0367,3.0425,3.0325,3.033,1210.1
2025-10-03 08:15:00,3.0294,3.0472,3.0294,3.0419,554.1
2025-10-03 08:30:00,3.0444,3.0534,3.0434,3.0531,155.9
2025-10-03 08:45:00,3.0519,3.0537,3.0509,3.0537,1400.7
2025-10-03 09:00:00,3.0543,3.0543,3.0432,3.0433,1890.7
2025-10-03 09:15:00,3.0428,3.0479,3.0428,3.0448,923.1
2025-10-03 09:30:00,3.0476,3.0477,3.0356,3.0371,354.5
2025-10-03 09:45:00,3.0388,3.041,3.0387,3.0408,830.3
2025-10-03 10:00:00,3.0405,3.0492,3.0405,3.0432,538.5
2025-10-03 10:15:00,3.0417,3.0435,3.0401,3.0419,450.8
2025-10-03 10:30:00,3.0467,3.0478,3.0413,3.0433,1020.6
2025-10-03 10:45:00,3.0433,3.0464,3.0433,3.0464,3781.7
2025-10-03 11:00:00,3.0457,3.0472,3.035,3.0372,509.0
2025-10-03 11:15:00,3.0373,3.0386,3.0336,3.0386,188.0
2025-10-03 11:30:00,3.0328,3.0388,3.0328,3.0388,214.8
2025-10-03 11:45:00,3.0402,3.0418,3.0402,3.0407,656.1
2025-10-03 12:00:00,3.0375,3.0382,3.0323,3.0343,936.2
2025-10-03 12:15:00,3.0365,3.0365,3.0332,3.0344,240.3
2025-10-03 12:30:00,3.0348,3.0387,3.0258,3.0259,2859.7
2025-10-03 12:45:00,3.0259,3.0264,3.022,3.0225,1131.4
2025-10-03 13:00:00,3.0224,3.0225,3.0115,3.0176,3117.9
2025-10-03 13:15:00,3.0162,3.0264,3.0162,3.0264,6304.7
2025-10-03 13:30:00,3.0262,3.0295,3.0169,3.0224,247.5
2025-10-03 13:45:00,3.0258,3.0289,3.0247,3.0247,55.6
2025-10-03 14:00:00,3.0226,3.0243,3.0189,3.0207,112407.7
2025-10-03 14:15:00,3.0184,3.0308,3.0102,3.0308,633.8
2025-10-03 14:30:00,3.0251,3.0304,3.0251,3.0304,66.0
2025-10-03 14:45:00,3.0393,3.0451,3.0393,3.0431,142.2
2025-10-03 15:00:00,3.0431,3.0431,3.0276,3.0353,518.1
2025-10-03 15:15:00,3.0364,3.05,3.0364,3.047,1191.4
2025-10-03 15:30:00,3.0479,3.0549,3.0478,3.0542,3924.2
2025-10-03 15:45:00,3.0522,3.0711,3.0522,3.071,238.1
2025-10-03 16:00:00,3.0715,3.0871,3.0715,3.0813,3742.8
2025-10-03 16:15:00,3.0817,3.0918,3.0773,3.0885,15579.0
2025-10-03 16:30:00,3.0872,3.0921,3.0838,3.088,13961.2
2025-10-03 16:45:00,3.0926,3.0927,3.0657,3.0657,13855.5
2025-10-03 17:00:00,3.0603,3.0603,3.0229,3.0586,2295.7
2025-10-03 17:15:00,3.0569,3.057,3.0446,3.0446,4138.0
2025-10-03 17:30:00,3.0353,3.0497,3.0353,3.0481,7421.8
2025-10-03 17:45:00,3.0428,3.0428,3.0265,3.0303,10370.3
2025-10-03 18:00:00,3.03,3.0371,3.0206,3.0357,17364.3
2025-10-03 18:15:00,3.0368,3.0459,3.0338,3.0459,416.2
2025-10-03 18:30:00,3.0493,3.051,3.0431,3.0433,735.4
2025-10-03 18:45:00,3.0428,3.049,3.0384,3.0454,429.9
2025-10-03 19:00:00,3.0459,3.0459,3.0377,3.0401,1172.3
2025-10-03 19:15:00,3.0428,3.0541,3.0428,3.0513,600.7
2025-10-03 19:30:00,3.0498,3.0519,3.0417,3.0417,1385.1
2025-10-03 19:45:00,3.0415,3.0415,3.0361,3.0378,395.0
2025-10-03 20:00:00,3.0332,3.0359,3.0222,3.0229,3356.5
2025-10-03 20:15:00,3.0262,3.0318,3.0262,3.0297,20121.0
2025-10-03 20:30:00,3.0294,3.0389,3.0293,3.0389,6944.2
2025-10-03 20:45:00,3.0391,3.0391,3.0345,3.0382,7004.3
2025-10-03 21:00:00,3.0376,3.0528,3.0376,3.0528,424.7
2025-10-03 21:15:00,3.0543,3.0544,3.0455,3.0506,833.1
2025-10-03 21:30:00,3.05,3.0515,3.0489,3.0515,69.3
2025-10-03 21:45:00,3.049,3.0501,3.0444,3.0501,73.6
2025-10-03 22:00:00,3.0464,3.0507,3.0464,3.0471,281.4
2025-10-03 22:15:00,3.0473,3.0527,3.0454,3.0515,802.9
2025-10-03 22:30:00,3.0526,3.0526,3.0484,3.0485,136.6
2025-10-03 22:45:00,3.0475,3.053,3.0462,3.0477,1555.2
2025-10-03 23:00:00,3.0477,3.0502,3.0429,3.0453,809.9
2025-10-03 23:15:00,3.0486,3.0486,3.0455,3.0461,48.8
2025-10-03 23:30:00,3.0426,3.0466,3.0402,3.045,650.1
